UID;company;Strasse;PLZ;city;UstId;Website;EIC_Typ;EIC_Code;EIC_Display_Name;EIC_Long_Name;EIC_Function;International
663943;"""ROMONTA GmbH""";Chausseestrasse 1;06317;Seegebiet Mansfelder Land;;;W;11WD8SEMA5L----B;R-BDE-A;Romonta Amsdorf;Generation;nein
663943;"""ROMONTA GmbH""";Chausseestrasse 1;06317;Seegebiet Mansfelder Land;;;W;11WD8SEMA5L--T7G;BDE-TS7;Braukohledampferzeuger Turbosatz 7;Generation;nein
663943;"""ROMONTA GmbH""";Chausseestrasse 1;06317;Seegebiet Mansfelder Land;;;W;11WD8SEMA5L--T8E;BDE-TS8;Braukohledampferzeuger Turbosatz 8;Generation;nein
663943;"""ROMONTA GmbH""";Chausseestrasse 1;06317;Seegebiet Mansfelder Land;;;W;11WD8SEMA5L--T9C;BDE-TS9;Braukohledampferzeuger Turbosatz 9;Generation;nein
662063;"""Stadtwerke Gronau GmbH""";Laubstiege 19;48599;Gronau;DE123770553;http://www.stadtwerke-gronau.de;X;11XSWGRONAU-H-VK;SWG;;Balance Group;ja
662063;"""Stadtwerke Gronau GmbH""";Laubstiege 19;48599;Gronau;DE123770553;http://www.stadtwerke-gronau.de;X;11XDIF-SWGRONAUT;SWG-DIF;;Balance Group;nein
662063;"""Stadtwerke Gronau GmbH""";Laubstiege 19;48599;Gronau;DE123770553;http://www.stadtwerke-gronau.de;X;11XEEG-SWGRONAUG;SWG-EEG;;Balance Group;nein
662063;"""Stadtwerke Gronau GmbH""";Laubstiege 19;48599;Gronau;DE123770553;http://www.stadtwerke-gronau.de;X;11XVER-SWGRONAU7;SWG-VER;;Balance Group;nein
662063;"""Stadtwerke Gronau GmbH""";Laubstiege 19;48599;Gronau;DE123770553;http://www.stadtwerke-gronau.de;X;11XEEG-SWOCHTRUA;SWOCHTRUP;;Balance Group;nein
662063;"""Stadtwerke Gronau GmbH""";Laubstiege 19;48599;Gronau;DE123770553;http://www.stadtwerke-gronau.de;X;11X0-0000-0339-T;SWGRONAU-PRIV;SW Gronau Vertrieb B2B;Balance Group;nein
662083;"""Stadtwerke Heide GmbH""";Hinrich-Schmidt-Straße 16;25746;Heide;DE194909824;http://www.stadtwerke-heide.de;X;11XVER-SWHEI---3;SWHEIDE-VER;;Balance Group;nein
662083;"""Stadtwerke Heide GmbH""";Hinrich-Schmidt-Straße 16;25746;Heide;DE194909824;http://www.stadtwerke-heide.de;X;11XDIF-SWHEI---P;SWHEIDE-DIF;;Balance Group;nein
662083;"""Stadtwerke Heide GmbH""";Hinrich-Schmidt-Straße 16;25746;Heide;DE194909824;http://www.stadtwerke-heide.de;X;11XDEL-SWHEI---7;SWHEIDE-DEL;;Balance Group;nein
662083;"""Stadtwerke Heide GmbH""";Hinrich-Schmidt-Straße 16;25746;Heide;DE194909824;http://www.stadtwerke-heide.de;X;11X0-0000-0250-G;11XEEG---SWHEIDE;11XEEG---SWHEIDE;Balance Group;nein
662119;"""Stadtwerke Kempen GmbH""";Heinrich-Horten-Straße 50;47906;Kempen;DE157198507;www.stadtwerke-kempen.de;X;11XEEGSWKEMPEN0U;SW-KEMPEM;;Balance Group;nein
662231;"""Stadtwerke Prenzlau GmbH""";Freyschmidtstraße 20;17291;Prenzlau;DE159045232;http://www.stadtwerke-prenzlau.de;X;11XSWPRENZLAU-V5;SWPRENZLAU;;Balance Responsible Party;ja
662231;"""Stadtwerke Prenzlau GmbH""";Freyschmidtstraße 20;17291;Prenzlau;DE159045232;http://www.stadtwerke-prenzlau.de;X;11XVER07584SWP-2;SWPZ-NETZ-VER;;Balance Group;nein
662231;"""Stadtwerke Prenzlau GmbH""";Freyschmidtstraße 20;17291;Prenzlau;DE159045232;http://www.stadtwerke-prenzlau.de;X;11XEEG07584SWP-B;SWPZ-NETZ-EEG;;Balance Group;nein
663529;1&1 Energy GmbH;Elgendorfer Straße 57;56410;Montabaur;DE304439118;;X;11X-1UND1------Y;1UND1;;Balance Responsible Party;ja
660116;365 AG;Im Mediapark 8;50670;Köln;DE212755674;;X;11XALMADOENERGYG;ALMADO;365 AG;Balance Responsible Party;ja
660118;50Hertz Offshore GmbH;Heidestraße 2;10557;Berlin;;http://www.50hertz-offshore.net;X;11XHZO-LV-----1B;50HZO;;Balance Responsible Party;ja
660119;50Hertz Transmission GmbH;Heidestraße 2;10557;Berlin;DE813473551;http://www.50hertz.com;T;11T0-0000-0001-P;CGS_BTB;CGS 50Hertz-DK2 HVDC BTB;Internal Line;nein
660119;50Hertz Transmission GmbH;Heidestraße 2;10557;Berlin;DE813473551;http://www.50hertz.com;T;11T0000000000015;L-D8-D8-444;380-kV-line Heinersdorf - Neuenhagen 444;Internal Line;nein
660119;50Hertz Transmission GmbH;Heidestraße 2;10557;Berlin;DE813473551;http://www.50hertz.com;T;11T0000000000023;L-D8-D8-548-1;380-kV-line Preilack - Heinersdorf - Eisenhüttenstadt 548;Internal Line;nein
660119;50Hertz Transmission GmbH;Heidestraße 2;10557;Berlin;DE813473551;http://www.50hertz.com;T;11T0-0000-0002-M;L-D8-D8-281;220-kV-line Wikinger - Lubmin 281;Internal Line;nein
660119;50Hertz Transmission GmbH;Heidestraße 2;10557;Berlin;DE813473551;http://www.50hertz.com;T;11T0-0000-0003-J;T-D8-D8-LUB405;Lubmin 380/220-kV Tr. 405;Transformer;nein
660119;50Hertz Transmission GmbH;Heidestraße 2;10557;Berlin;DE813473551;http://www.50hertz.com;T;11T0-0000-0004-G;T-D8-D8-LUB406;Lubmin 380/220-kV Tr. 406;Transformer;nein
660119;50Hertz Transmission GmbH;Heidestraße 2;10557;Berlin;DE813473551;http://www.50hertz.com;T;11T0-0000-0010-O;L-D8-D8-518-1;380-kV-line Altentreptow/Süd - Malchow 518;Internal Line;nein
660119;50Hertz Transmission GmbH;Heidestraße 2;10557;Berlin;DE813473551;http://www.50hertz.com;T;11T0-0000-0007-7;L-D8-D8-476;380-kV-line Lubmin - Altentreptow/Süd;Internal Line;nein
