"","biddingZone_Domain.mRID","start_DateAndOrTime.date","start_DateAndOrTime.time","end_DateAndOrTime.date","end_DateAndOrTime.time","quantity_Measure_Unit.name","production_RegisteredResource.mRID","production_RegisteredResource.name","production_RegisteredResource.pSRType.powerSystemResources.mRID","production_RegisteredResource.pSRType.powerSystemResources.name","production_RegisteredResource.pSRType.powerSystemResources.nominalP","reas_c","quantity","reas_t","year","st.mon","st.d","end.mon","end.d","st.datetime","end.datetime","duration_days"
"1","10YDE-VE-------2",2015-01-02,"23:30:00",2015-01-03,"01:35:00","MAW","11WD8GOLD1H----6","PSW Goldisthal","11WD8GOLD1H---AL","PSW Goldisthal PSS A","265","B18","0",NA,"2015","01","02","01","03",2015-01-02 23:30:00,2015-01-03 01:35:00,0.0868055555555556
"2","10YDE-VE-------2",2015-01-16,"23:32:00",2015-01-17,"16:59:00","MAW","11WD8MITT5G----0","HKW Mitte","11WD8MITT5GGUD-8","HKW Mitte GUD","444","B18","200",NA,"2015","01","16","01","17",2015-01-16 23:32:00,2015-01-17 16:59:00,0.727083333333333
"3","10YDE-VE-------2",2015-01-29,"21:11:00",2015-02-01,"23:00:00","MAW","11WD8ROST1C---P5","Kraftwerk Rostock","11WD8ROST1C----K","Kraftwerk Rostock","514","B18","314",NA,"2015","01","29","02","01",2015-01-29 21:11:00,2015-02-01 23:00:00,3.07569444444444
"4","10YDE-VE-------2",2015-02-18,"09:30:00",2015-02-21,"15:00:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---B0","Schkopau B","450","B18","0","Other","2015","02","18","02","21",2015-02-18 09:30:00,2015-02-21 15:00:00,3.22916666666667
"5","10YDE-VE-------2",2015-03-01,"17:00:00",2015-03-02,"13:59:00","MAW","11WD8JAEN1L----Z","KW Jänschwalde","11WD8JAEN1L---D7","KW Jänschwalde Block D","500","B20","245","External Factors","2015","03","01","03","02",2015-03-01 17:00:00,2015-03-02 13:59:00,0.874305555555556
"6","10YDE-VE-------2",2015-03-21,"10:42:00",2015-03-21,"12:45:00","MAW","11WD8MITT5G----0","HKW Mitte","11WD8MITT5GGUD-8","HKW Mitte GUD","444","B18","244",NA,"2015","03","21","03","21",2015-03-21 10:42:00,2015-03-21 12:45:00,0.0854166666666667
"7","10YDE-VE-------2",2015-04-03,"18:40:00",2015-04-18,"16:20:00","MAW","11WD8BOXB1L----J","KW Boxberg","11WD8BOXB1L---R0","KW Boxberg Block R","630","B18","0",NA,"2015","04","03","04","18",2015-04-03 18:40:00,2015-04-18 16:20:00,14.9027777777778
"8","10YDE-VE-------2",2015-05-04,"15:30:00",2015-05-04,"16:30:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---A2","Schkopau A","450","B18","320",NA,"2015","05","04","05","04",2015-05-04 15:30:00,2015-05-04 16:30:00,0.0416666666666667
"9","10YDE-VE-------2",2015-05-09,"16:31:00",2015-10-09,"15:03:00","MAW","11WD8GOLD1H----6","PSW Goldisthal","11WD8GOLD1H---DF","PSW Goldisthal PSS D","265","B18","0",NA,"2015","05","09","10","09",2015-05-09 16:31:00,2015-10-09 15:03:00,152.938888888889
"10","10YDE-VE-------2",2015-09-29,"07:10:00",2015-10-18,"18:00:00","MAW","11WD8REUT5X----M","HKW Reuter","11WD8REUT5X---CX","HKW Reuter Block C","124","B18","0",NA,"2015","09","29","10","18",2015-09-29 07:10:00,2015-10-18 18:00:00,19.4513888888889
"11","10YDE-VE-------2",2015-10-30,"05:16:00",2015-10-30,"13:00:00","MAW","11WD8JAEN1L----Z","KW Jänschwalde","11WD8JAEN1L---F3","KW Jänschwalde Block F","498","B18","2",NA,"2015","10","30","10","30",2015-10-30 05:16:00,2015-10-30 13:00:00,0.322222222222222
"12","10YDE-VE-------2",2015-11-12,"12:44:00",2015-11-12,"14:30:00","MAW","11WD8MOOR1C----G","HKW Moorburg","11WD8MOOR1C---AV","HKW Moorburg Block A","800","B18","620",NA,"2015","11","12","11","12",2015-11-12 12:44:00,2015-11-12 14:30:00,0.0736111111111111
"13","10YDE-VE-------2",2015-11-30,"21:38:00",2015-12-03,"15:59:00","MAW","11WD8JAEN1L----Z","KW Jänschwalde","11WD8JAEN1L---C9","KW Jänschwalde Block C","500","B18","225",NA,"2015","11","30","12","03",2015-11-30 21:38:00,2015-12-03 15:59:00,2.76458333333333
"14","10YDE-VE-------2",2015-12-14,"09:40:00",2015-12-14,"17:55:00","MAW","11WD8BOXB1L----J","KW Boxberg","11WD8BOXB1L---N8","KW Boxberg Block N","500","B18","210",NA,"2015","12","14","12","14",2015-12-14 09:40:00,2015-12-14 17:55:00,0.34375
"15","10YDE-VE-------2",2016-01-03,"09:49:00",2016-01-03,"21:00:00","MAW","11WD8TIEF5X----V","HKW Tiefstack","11WD8TIEF5G-GUDI","HKW Tiefstack GuD","127","B18","0",NA,"2016","01","03","01","03",2016-01-03 09:49:00,2016-01-03 21:00:00,0.465972222222222
"16","10YDE-VE-------2",2016-01-12,"02:00:00",2016-01-12,"08:30:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---A2","Schkopau A","450","B18","250",NA,"2016","01","12","01","12",2016-01-12 02:00:00,2016-01-12 08:30:00,0.270833333333333
"17","10YDE-VE-------2",2016-01-29,"14:30:00",2016-01-29,"16:15:00","MAW","11WD8SWPU1L----5","KW Schwarze Pumpe","11WD8SWPU1L---AK","KW Schwarze Pumpe Block A","755","B18","579",NA,"2016","01","29","01","29",2016-01-29 14:30:00,2016-01-29 16:15:00,0.0729166666666667
"18","10YDE-VE-------2",2016-02-10,"16:42:00",2016-02-11,"04:59:00","MAW","11WD8MOOR1C----G","HKW Moorburg","11WD8MOOR1C---AV","HKW Moorburg Block A","800","B18","0",NA,"2016","02","10","02","11",2016-02-10 16:42:00,2016-02-11 04:59:00,0.511805555555556
