"","einwohner","note","plz","qkm"
"0",11957,"01067 Dresden","01067",6.866412
"1",25491,"01069 Dresden","01069",5.352468
"2",14909,"01097 Dresden","01097",3.280666
"3",27989,"01099 Dresden","01099",58.502476
"4",5876,"01108 Dresden","01108",16.447222
"5",20010,"01109 Dresden","01109",24.738921
"6",14991,"01127 Dresden","01127",3.213077
"7",18915,"01129 Dresden","01129",7.415079
"8",17555,"01139 Dresden","01139",8.437545
"9",11317,"01156 Dresden","01156",31.752991
"10",20684,"01157 Dresden","01157",8.05987
"11",27666,"01159 Dresden","01159",5.920692
"12",19091,"01169 Dresden","01169",4.863059
"13",16423,"01187 Dresden","01187",5.083873
"14",9741,"01189 Dresden","01189",5.309588
"15",17455,"01217 Dresden","01217",5.866977
"16",20962,"01219 Dresden","01219",6.961264
"17",15536,"01237 Dresden","01237",4.263426
"18",15134,"01239 Dresden","01239",5.730474
"19",16293,"01257 Dresden","01257",8.278531
"20",18995,"01259 Dresden","01259",10.374437
"21",31798,"01277 Dresden","01277",4.87459
"22",21185,"01279 Dresden","01279",4.892838
"23",23815,"01307 Dresden","01307",3.665982
"24",32890,"01309 Dresden","01309",4.731353
"25",8874,"01324 Dresden","01324",4.623993
"26",10802,"01326 Dresden","01326",15.597135
"27",12342,"01328 Dresden","01328",41.235283
"28",33224,"01445 Radebeul","01445",26.356994
"29",22313,"01454 Radeberg, Wachau","01454",68.152391
"30",9817,"01458 Ottendorf-Okrilla","01458",25.96727
"31",4101,"01465 Dresden","01465",12.552208
"32",8215,"01468 Moritzburg","01468",46.551506
"33",7592,"01471 Radeburg","01471",54.182052
"34",4776,"01477 Arnsdorf b. Dresden","01477",35.857419
"35",14551,"01558 Großenhain","01558",43.790439
"36",20492,"01561 Großenhain, Ebersbach u.a.","01561",409.158027
"37",12390,"01587 Riesa","01587",7.412452
"38",10121,"01589 Riesa","01589",15.474688
"39",8795,"01591 Riesa","01591",16.629514
"40",6780,"01594 Riesa, Stauchitz, Hirschstein","01594",86.370519
"41",12481,"01609 Gröditz, Wülknitz, Röderaue","01609",85.524909
"42",8078,"01612 Nünchritz, Glaubitz","01612",45.537968
"43",3893,"01616 Strehla","01616",30.441618
"44",6179,"01619 Zeithain","01619",82.272056
"45",5408,"01623 Lommatzsch","01623",66.979678
"46",20751,"01640 Coswig","01640",25.922542
"47",27093,"01662 Meißen","01662",30.873907
"48",16557,"01665 Käbschütztal, Klipphausen, Diera-Zehren","01665",205.627679
"49",11035,"01683 Nossen","01683",123.044376
"50",13976,"01689 Weinböhla","01689",54.386858
"51",38217,"01705 Freital","01705",40.429211
"52",11815,"01723 Wilsdruff","01723",75.953603
"53",10519,"01728 Bannewitz","01728",25.77005
"54",4365,"01731 Kreischa","01731",28.915258
"55",4390,"01734 Rabenau","01734",30.779947
"56",7041,"01737 Tharandt u.a.","01737",77.373803
"57",1113,"01738 Dorfhain","01738",6.280953
"58",14643,"01744 Dippoldiswalde","01744",104.503651
"59",1147,"01762 Hartmannsdorf-Reichenau","01762",28.317498
"60",6995,"01768 Glashütte","01768",95.892741
"61",5530,"01773 Altenberg","01773",89.59722
"62",7050,"01774 Klingenberg","01774",86.871191
"63",869,"01776 Hermsdorf","01776",20.084431
"64",3041,"01778 Altenberg","01778",56.403744
"65",41936,"01796 Pirna, Struppen, Dohma","01796",93.413763
"66",24151,"01809 Heidenau","01809",60.68569
"67",6482,"01814 Bad Schandau","01814",82.9122
"68",5796,"01816 Bad Gottleuba-Berggießhübel","01816",88.911083
"69",2232,"01819 Bahretal","01819",36.532466
"70",6474,"01824 Königstein/Sächs.Schw.","01824",112.345686
"71",1430,"01825 Liebstadt","01825",37.480403
"72",1666,"01829 Wehlen","01829",10.869316
"73",10131,"01833 Stolpen, Dürrröhrsdorf-Dittersbach","01833",104.601952
"74",13336,"01844 Neustadt i. Sa.","01844",83.188841
"75",3159,"01847 Lohmen","01847",26.217434
"76",3525,"01848 Hohnstein","01848",64.68408
"77",10390,"01855 Sebnitz","01855",88.742154
"78",19908,"01877 Bischofswerda u.a.","01877",117.259544
"79",11696,"01896 Pulsnitz","01896",53.692343
"80",9736,"01900 Großröhrsdorf, Bretnig-Hauswalde","01900",41.040688
"81",8227,"01904 Neukirch/Lausitz","01904",39.333706
"82",2775,"01906 Burkau","01906",31.925384
"83",4005,"01909 Großharthau, Frankenthal","01909",46.889202
"84",15595,"01917 Kamenz","01917",53.561368
"85",20785,"01920 Elstra, Oßling u.a.","01920",275.521156
"86",11707,"01936 Königsbrück u.a.","01936",254.017954
"87",11001,"01945 Ruhland","01945",198.586086
"88",24423,"01968 Senftenberg","01968",117.292334
"89",16088,"01979 Lauchhammer","01979",89.721472
"90",9382,"01983 Großräschen","01983",81.171567
"91",5972,"01987 Schwarzheide N.L.","01987",32.327704
"92",3403,"01990 Ortrand","01990",21.219445
"93",2761,"01993 Schipkau","01993",14.662106
"94",1986,"01994 Schipkau","01994",23.877941
"95",1814,"01996 Senftenberg","01996",15.404732
"96",1415,"01998 Schipkau","01998",17.590439
"97",40361,"02625 Bautzen","02625",67.300458
"98",11893,"02627 Weißenberg, Hochkirch u.a.","02627",198.686283
"99",4974,"02633 Göda","02633",65.671877
"100",12222,"02681 Wilthen","02681",41.478412
"101",7117,"02689 Sohland a. d. Spree","02689",37.403174
"102",7042,"02692 Doberschau-Gaußig, Großpostwitz, Obergurig","02692",39.167359
"103",9421,"02694 Großdubrau, Malschwitz","02694",147.491629
"104",7163,"02699 Königswartha","02699",105.376677
"105",26998,"02708 Löbau, Kottmar u.a.","02708",174.886286
"106",5758,"02727 Ebersbach-Neugersdorf","02727",5.564068
"107",7784,"02730 Ebersbach-Neugersdorf","02730",14.963513
"108",5017,"02733 Cunewalde","02733",26.709681
"109",3785,"02736 Beiersdorf, Oppach","02736",14.482567
"110",4453,"02739 Kottmar","02739",17.231686
"111",3588,"02742 Neusalza-Spremberg","02742",22.971047
"112",6369,"02747 Herrnhut","02747",74.225198
"113",3665,"02748 Bernstadt","02748",52.458175
"114",28711,"02763 Zittau u.a.","02763",80.097737
"115",6282,"02779 Großschönau","02779",28.463428
"116",4069,"02782 Seifhennersdorf","02782",19.169686
"117",5434,"02785 Olbersdorf","02785",15.245909
"118",4183,"02788 Zittau","02788",41.259891
"119",5495,"02791 Oderwitz","02791",35.886155
"120",3860,"02794 Leutersdorf, Spitzkunnersdorf","02794",17.090725
"121",1715,"02796 Jonsdorf","02796",9.063437
"122",1515,"02797 Oybin","02797",18.367895
"123",1282,"02799 Großschönau","02799",8.472307
"124",25379,"02826 Görlitz","02826",6.13008
"125",17068,"02827 Görlitz","02827",37.160752
"126",12016,"02828 Görlitz","02828",25.355081
"127",9737,"02829 Markersdorf, Neißeaue u.a.","02829",159.611817
"128",7146,"02894 Reichenbach, Vierkirchen","02894",98.340122
"129",4107,"02899 Ostritz, Schönau-Berzdorf","02899",51.182861
"130",18036,"02906 Niesky, Hohendubrau u.a.","02906",250.081776
"131",5857,"02923 Hähnichen, Horka, Kodersdorf","02923",132.468709
"132",5104,"02929 Rothenburg/O.L.","02929",73.807703
"133",23208,"02943 Weißwasser, Boxberg","02943",281.469243
"134",6032,"02953 Bad Muskau, Groß Düben, Gablenz","02953",36.735248
"135",2736,"02956 Rietschen","02956",86.84959
"136",4986,"02957 Krauschwitz, Weißkeißel","02957",145.544677
"137",4305,"02959 Schleife","02959",83.159384
"138",36131,"02977 Hoyerswerda","02977",95.781688
"139",5794,"02979 Spreetal, Elsterheide","02979",236.081721
"140",9144,"02991 Lauta","02991",43.077071
"141",6792,"02994 Bernsdorf","02994",58.410943
"142",5892,"02997 Wittichenau","02997",61.347771
"143",5735,"02999 Lohsa","02999",135.09686
"144",18419,"03042 Cottbus","03042",20.8623
"145",17694,"03044 Cottbus","03044",15.43979
"146",20626,"03046 Cottbus","03046",8.035627
"147",14633,"03048 Cottbus","03048",9.489195
"148",14076,"03050 Cottbus","03050",6.210772
"149",6526,"03051 Cottbus","03051",27.968571
"150",1505,"03052 Cottbus","03052",31.457108
"151",694,"03053 Cottbus","03053",6.639445
"152",2302,"03054 Cottbus","03054",20.417924
"153",3613,"03055 Cottbus","03055",19.035897
"154",5228,"03058 Neuhausen/Spree","03058",135.20774
"155",9429,"03096 Burg/Spreewald u.a.","03096",126.710752
"156",9370,"03099 Kolkwitz","03099",105.058921
"157",2035,"03103 Neu-Seeland, Neupetershain","03103",56.414045
"158",5914,"03116 Drebkau","03116",144.915588
"159",3942,"03119 Welzow","03119",39.649504
"160",27681,"03130 Spremberg, Tschernitz u.a.","03130",280.585585
"161",22297,"03149 Forst/ Lausitz","03149",187.170747
"162",5360,"03159 Döbern","03159",97.982214
"163",22755,"03172 Guben, Schenkendöbern","03172",271.384224
"164",9714,"03185 Peitz","03185",203.39378
"165",1455,"03197 Jänschwalde","03197",69.972256
"166",9068,"03205 Calau, Bronkow","03205",202.684514
"167",16525,"03222 Lübbenau/ Spreewald","03222",139.878599
"168",8798,"03226 Vetschau","03226",111.675204
"169",3606,"03229 Altdöbern, Luckaitztal","03229",103.021699
"170",24729,"03238 Finsterwalde","03238",299.510883
"171",1395,"03246 Crinitz","03246",44.645426
"172",3503,"03249 Sonnewalde","03249",120.274736
"173",12064,"03253 Doberlug-Kirchhain","03253",208.902251
"174",13506,"04103 Leipzig","04103",4.394629
"175",16027,"04105 Leipzig","04105",4.854004
"176",11601,"04107 Leipzig","04107",1.653824
"177",11470,"04109 Leipzig","04109",2.506005
"178",11601,"04129 Leipzig","04129",4.611208
"179",16245,"04155 Leipzig","04155",2.212628
"180",22275,"04157 Leipzig","04157",3.914755
"181",13979,"04158 Leipzig","04158",29.545723
"182",21913,"04159 Leipzig","04159",18.320444
"183",16855,"04177 Leipzig","04177",2.954622
"184",14379,"04178 Leipzig","04178",15.766275
"185",14550,"04179 Leipzig","04179",7.508637
"186",14523,"04205 Leipzig","04205",6.560749
"187",17812,"04207 Leipzig","04207",8.677191
"188",18908,"04209 Leipzig","04209",2.319666
"189",30475,"04229 Leipzig","04229",5.909376
"190",14730,"04249 Leipzig","04249",37.956715
"191",22101,"04275 Leipzig","04275",2.708192
"192",21717,"04277 Leipzig","04277",8.239562
"193",15023,"04279 Leipzig","04279",6.258948
"194",11100,"04288 Leipzig","04288",21.989924
"195",9290,"04289 Leipzig","04289",5.830794
"196",14253,"04299 Leipzig","04299",4.579734
"197",15918,"04315 Leipzig","04315",1.985721
"198",7651,"04316 Leipzig","04316",9.451955
"199",17485,"04317 Leipzig","04317",2.129275
"200",14218,"04318 Leipzig","04318",3.476653
"201",10874,"04319 Leipzig","04319",17.560211
"202",4101,"04328 Leipzig","04328",3.12243
"203",14607,"04329 Leipzig","04329",4.510305
"204",19253,"04347 Leipzig","04347",7.540723
"205",8173,"04349 Leipzig","04349",13.996571
"206",2286,"04356 Leipzig","04356",19.617233
"207",14336,"04357 Leipzig","04357",5.427869
"208",23530,"04416 Markkleeberg","04416",31.458642
"209",14800,"04420 Markranstädt","04420",60.231609
"210",14161,"04425 Taucha","04425",33.048597
"211",16951,"04435 Schkeuditz","04435",80.707091
"212",8801,"04442 Zwenkau","04442",46.278465
"213",8215,"04451 Borsdorf","04451",16.108457
"214",5338,"04463 Großpösna","04463",41.455243
"215",39116,"04509 Delitzsch, Krostitz u.a.","04509",311.11938
"216",4933,"04519 Rackwitz","04519",35.9135
"217",7833,"04523 Pegau, Elstertrebnitz","04523",60.604312
"218",7814,"04539 Groitzsch","04539",69.988594
"219",19802,"04552 Borna","04552",61.574418
"220",6704,"04564 Böhlen","04564",27.164623
"221",4164,"04565 Regis-Breitingen","04565",26.819131
"222",5377,"04567 Kitzscher","04567",29.043986
"223",6095,"04571 Rötha","04571",46.44226
"224",7178,"04575 Neukieritzsch, Deutzen","04575",54.570331
"225",34093,"04600 Altenburg","04600",45.712787
"226",8869,"04603 Nobitz, Göhren, Windischleuba","04603",100.237613
"227",10968,"04610 Meuselwitz","04610",53.700028
"228",4071,"04613 Lucka","04613",12.891204
"229",10908,"04617 Rositz, Starkenberg, Treben","04617",87.041263
"230",3690,"04618 Langenleuba-Niederhain","04618",75.030629
"231",19057,"04626 Schmölln, Altkirchen, Nöbdenitz u.a.","04626",163.755474
"232",5353,"04639 Gößnitz","04639",31.224313
"233",7556,"04643 Geithain","04643",54.917915
"234",8399,"04651 Bad Lausick","04651",69.825136
"235",13477,"04654 Frohburg","04654",145.235371
"236",34365,"04668 Grimma","04668",275.430602
"237",9253,"04680 Colditz","04680",84.386665
"238",11809,"04683 Naunhof","04683",63.466463
"239",4085,"04687 Trebsen/Mulde","04687",35.277073
"240",8898,"04703 Leisnig","04703",77.923691
"241",28916,"04720 Döbeln, Großweitzschen u.a.","04720",154.707707
"242",9403,"04736 Waldheim","04736",41.53524
"243",7967,"04741 Roßwein","04741",44.062992
"244",7795,"04746 Hartha","04746",54.69646
"245",3967,"04749 Ostrau","04749",53.536469
"246",21711,"04758 Oschatz","04758",206.443969
"247",7997,"04769 Mügeln","04769",78.911079
"248",4612,"04774 Dahlen","04774",71.896771
"249",5503,"04779 Wermsdorf","04779",104.950411
"250",27018,"04808 Wurzen","04808",232.746056
"251",6352,"04821 Brandis","04821",25.722101
