"","id","from","to","stations","lat","lon","city","region","...9"
"1",183,19510101,20190820,42,54.6792,13.4343,"Arkona","Mecklenburg-Vorpommern",NA
"2",232,19510101,20190820,461,48.4254,10.942,"Augsburg","Bayern",NA
"3",403,19510101,20190820,51,52.4537,13.3017,"Berlin-Dahlem (FU)","Berlin",NA
"4",853,19510101,20190820,418,50.7913,12.872,"Chemnitz","Sachsen",NA
"5",1197,19510101,20190820,460,48.9895,10.1312,"Ellwangen-Rindelbach","Baden-Württemberg",NA
"6",1270,19510101,20190820,316,50.9829,10.9608,"Erfurt-Weimar","Thüringen",NA
"7",1303,19510101,20190820,150,51.4041,6.9677,"Essen-Bredeney","Nordrhein-Westfalen",NA
"8",2261,19510101,20190820,565,50.3122,11.8761,"Hof","Bayern",NA
"9",3023,19510101,20190820,22,52.5181,7.3081,"Lingen","Niedersachsen",NA
"10",3126,19510101,20190820,76,52.1029,11.5827,"Magdeburg","Sachsen-Anhalt",NA
"11",3196,19510101,20190820,81,53.3223,11.9319,"Marnitz","Mecklenburg-Vorpommern",NA
"12",3946,19510101,20190820,386,50.4819,12.13,"Plauen","Sachsen",NA
"13",3987,19510101,20190820,81,52.3813,13.0622,"Potsdam","Brandenburg",NA
"14",1358,19510501,20190820,1213,50.4283,12.9535,"Fichtelberg","Sachsen",NA
"15",1612,19520101,20190820,311,50.8813,12.1289,"Gera-Leumnitz","Thüringen",NA
"16",867,19530101,20190820,344,50.3066,10.9679,"Lautertal-Oberlauter","Bayern",NA
"17",2044,19770701,20190820,404,51.652,11.1367,"Harzgerode","Sachsen-Anhalt",NA
"18",150,19810101,20190820,215,49.7273,8.1164,"Alzey","Rheinland-Pfalz",NA
"19",460,19810101,20190820,363,49.264,6.6868,"Berus","Saarland",NA
"20",1266,19810101,20190820,18,54.2992,9.3162,"Erfde","Schleswig-Holstein",NA
